"Sample name","Sample accession","Lane name","Lane accession"
400549_aEPEC,ERS085385,7790_1#52,ERR137785
400654_aEPEC,ERS085386,7790_1#53,ERR137786
400714_aEPEC,ERS085387,7790_1#54,ERR137787
400998_aEPEC,ERS085389,7790_1#56,ERR137789
401250_aEPEC,ERS085390,7790_1#57,ERR137790
401596_aEPEC,ERS085391,7790_1#58,ERR137791
401886_aEPEC,ERS085392,7790_1#59,ERR137792
401938_aEPEC,ERS085393,7790_1#60,ERR137793
402074_aEPEC,ERS085394,7790_1#61,ERR137794
402480_aEPEC,ERS085395,7790_1#62,ERR137795
402743_aEPEC,ERS085396,7790_1#63,ERR137796
402780_aEPEC,ERS085397,7790_1#64,ERR137797
402977_aEPEC,ERS085398,7790_1#65,ERR137798
403096_aEPEC,ERS085399,7790_1#66,ERR137799
403726_aEPEC,ERS085400,7790_1#67,ERR137800
503238_aEPEC,ERS085401,7790_1#68,ERR137801
503891_aEPEC,ERS085402,7790_1#69,ERR137802
504005_aEPEC,ERS085403,7790_1#70,ERR137803
702745_aEPEC,ERS085404,7790_1#71,ERR137804
702890_aEPEC,ERS085405,7790_1#72,ERR137805
702898_aEPEC,ERS085406,7790_1#73,ERR137806
100383_aEPEC,ERS085407,7790_1#74,ERR137807
102010_aEPEC,ERS085408,7790_1#75,ERR137808
102014_aEPEC,ERS085409,7790_1#76,ERR137809
102366_aEPEC,ERS085410,7790_1#77,ERR137810
200456_aEPEC,ERS085412,7790_1#79,ERR137812
200959_aEPEC,ERS085413,7790_1#80,ERR137813
201191_aEPEC,ERS085414,7790_1#81,ERR137814
201488_aEPEC,ERS085415,7790_1#82,ERR137815
201589_aEPEC,ERS085416,7790_1#83,ERR137816
202317_aEPEC,ERS085417,7790_1#84,ERR137817
202621_aEPEC,ERS085418,7790_1#85,ERR137818
300812_aEPEC,ERS085419,7790_1#86,ERR137819
300814_aEPEC,ERS085420,7790_1#87,ERR137820
400897_aEPEC,ERS085421,7790_1#88,ERR137821
401117_aEPEC,ERS085422,7790_1#89,ERR137822
401174_aEPEC,ERS085423,7790_1#90,ERR137823
401709_aEPEC,ERS085424,7790_1#91,ERR137824
402058_aEPEC,ERS085425,7790_1#92,ERR137825
402097_aEPEC,ERS085426,7790_1#93,ERR137826
402227_aEPEC,ERS085427,7790_1#94,ERR137827
500197_aEPEC,ERS085428,7790_1#95,ERR137828
503130_aEPEC,ERS085429,7790_1#96,ERR137829
E_995,ERS127431,7978_7#51,ERR160999
E_1316,ERS127432,7978_7#52,ERR161000
E_957,ERS136430,8036_3#88,ERR164828
E_1432w,ERS136512,8036_3#89,ERR164829
E_1432G,ERS136432,8036_3#90,ERR164830
E_2439,ERS136438,8036_3#92,ERR164832
E_5089,ERS136435,8036_3#93,ERR164833
200499,ERS139198,8205_3#1,ERR178148
202387,ERS139199,8205_3#2,ERR178149
200232,ERS139200,8205_3#3,ERR178150
200696,ERS139201,8205_3#4,ERR178151
202374,ERS139202,8205_3#5,ERR178152
202474,ERS139203,8205_3#6,ERR178153
302302,ERS139204,8205_3#7,ERR178154
401553,ERS139205,8205_3#8,ERR178155
402617,ERS139206,8205_3#9,ERR178156
402635,ERS139207,8205_3#10,ERR178157
402924,ERS139208,8205_3#11,ERR178158
403066,ERS139209,8205_3#12,ERR178159
403728,ERS139211,8205_3#14,ERR178161
